,GarageArea,SalePrice,LotArea
0,548,208500,8450
1,460,181500,9600
2,608,223500,11250
3,642,140000,9550
4,836,250000,14260
5,480,143000,14115
6,636,307000,10084
7,484,200000,10382
8,468,129900,6120
9,205,118000,7420
10,384,129500,11200
11,736,345000,11924
12,352,144000,12968
13,840,279500,10652
14,352,157000,10920
15,576,132000,6120
16,480,149000,11241
17,516,90000,10791
18,576,159000,13695
19,294,139000,7560
20,853,325300,14215
21,280,139400,7449
22,534,230000,9742
23,572,129900,4224
24,270,154000,8246
25,890,256300,14230
26,576,134800,7200
27,772,306000,11478
28,319,207500,16321
29,240,68500,6324
30,250,40000,8500
31,271,149350,8544
32,484,179900,11049
33,447,165500,10552
34,556,277500,7313
35,691,309000,13418
36,672,145000,10859
37,498,153000,8532
38,246,109000,7922
40,440,160000,8658
41,308,170000,16905
42,504,144000,9180
43,308,130250,9200
44,300,141000,7945
45,576,319900,7658
46,670,239686,12822
47,826,249700,11096
49,386,127000,7742
50,388,177000,13869
51,528,114500,6240
52,516,110000,8472
54,572,130000,7134
55,576,180500,10175
56,480,172500,2645
57,565,196500,11645
58,641,438780,13682
59,352,124900,7200
60,576,158000,13072
61,288,101000,7200
62,484,202500,6442
63,480,140000,10300
64,645,219500,9375
65,852,317000,9591
66,576,180000,19900
67,558,226000,10665
68,220,80000,4608
69,667,225000,15593
70,516,244000,13651
71,360,129500,7599
72,427,185000,10141
73,490,144900,10200
74,379,107400,5790
75,297,91000,1596
76,283,135750,8475
77,240,127000,8635
79,440,110000,10440
80,509,193500,13000
81,405,153500,4500
82,758,245000,10206
83,461,126500,8892
84,400,168500,8530
85,462,260000,16059
86,400,174000,11911
87,528,164500,3951
90,420,109900,7200
91,480,98600,8500
92,432,163500,13360
93,506,133900,7200
94,684,204750,9337
95,420,185000,9765
96,472,214000,10264
97,432,94750,10921
98,366,83000,10625
100,480,205000,10603
101,476,178000,9206
102,410,118964,7018
103,740,198900,10402
104,240,169500,7758
105,648,250000,9375
106,273,100000,10800
107,250,115000,6000
109,546,190000,11751
110,325,136900,9525
111,400,180000,7750
112,792,383970,9965
114,180,259500,7259
115,440,176000,3230
116,288,139000,11616
117,430,155000,8536
118,594,320000,12376
119,390,163990,8461
121,264,100000,6060
122,288,136000,9464
123,530,153900,7892
124,435,181000,17043
126,440,128000,4928
128,453,155000,7590
129,750,150000,8973
130,487,226000,14200
131,390,244000,12224
132,624,150750,7388
133,471,220000,6853
134,440,180000,10335
135,530,174000,10400
136,318,143000,10355
137,766,171000,11070
138,660,230000,9066
139,470,231500,15426
141,660,260000,11645
142,720,166000,8520
143,577,204000,10335
144,504,125000,9100
145,380,130000,2522
146,180,105000,6120
147,434,222500,9505
149,240,115000,6240
150,440,122000,10356
151,866,372402,13891
152,495,190000,14803
153,564,235000,13500
154,312,125000,11340
156,625,109500,7200
157,680,269500,12003
158,678,254900,12552
159,576,320000,19378
160,516,162500,11120
161,726,412500,13688
162,532,220000,12182
164,216,152000,5400
166,303,190000,10708
167,789,325624,10562
168,440,183500,8244
169,511,228000,16669
170,660,128500,12358
172,504,239000,5306
173,504,163000,10197
174,616,184000,12416
175,576,243000,12615
176,521,211000,10029
177,451,172500,13650
178,1166,501837,17423
179,480,100000,8520
180,440,177000,2117
181,216,200100,7588
182,252,120000,9060
183,484,200000,11426
184,576,127000,7438
186,497,173000,9947
187,180,135000,10410
188,528,153337,7018
189,682,286000,4923
190,440,315000,10570
191,484,184000,7472
192,666,192000,9017
193,380,130000,2522
194,352,127000,7180
195,440,148500,2280
196,786,311872,9416
199,856,274900,9591
200,440,140000,8546
201,473,171500,10125
202,398,112000,7000
203,420,149000,4438
204,240,110000,3500
205,500,180500,11851
206,349,143900,13673
207,312,141000,12493
208,454,277000,14364
209,504,145000,8250
211,460,186000,10420
212,644,252678,8640
213,576,156000,13568
214,299,161750,10900
215,447,134450,10011
216,484,210000,8450
217,210,107000,9906
218,431,311500,15660
219,438,167240,3010
220,675,204900,8990
221,390,200000,8068
222,434,179900,11475
223,576,97000,10500
224,968,386250,13472
225,280,112000,1680
226,721,290000,9950
227,280,106000,1869
228,336,125000,8521
229,430,192500,3182
230,312,148000,8760
231,810,403000,15138
232,288,94500,1680
233,308,128200,10650
234,440,216500,7851
235,264,89500,1680
236,494,185500,8773
237,457,194500,9453
238,818,318000,12030
239,220,113000,8741
240,750,262500,9000
242,352,79000,5000
243,288,120000,10762
244,463,205000,8880
245,604,241500,10400
246,440,137000,9142
247,451,140000,11310
248,500,180000,11317
251,538,235000,4750
252,520,173000,8366
253,309,158000,9350
254,294,145000,8400
255,429,230000,8738
256,673,207500,8791
257,660,220000,8814
258,564,231500,12435
259,308,97000,12702
260,884,176000,19296
261,868,276000,9588
262,492,151000,8471
263,484,130000,5500
264,504,73000,5232
265,576,175500,12090
266,413,185000,11207
267,240,179500,8400
268,924,120500,6900
269,504,148000,7917
270,1053,266000,10728
272,671,290000,11764
273,338,139000,9600
274,264,124500,8314
275,672,205000,7264
276,573,201000,9196
277,400,141000,19138
278,732,415298,14450
279,505,192000,10005
280,575,228500,11287
281,572,185000,7200
282,626,207500,5063
283,898,244600,9612
284,529,179200,8012
285,528,164700,4251
286,440,159000,9786
288,280,122000,9819
289,384,153575,8730
290,685,233230,15611
292,281,131000,11409
293,539,235000,16659
294,418,167000,9600
295,588,142500,7937
296,282,152000,13710
297,576,239000,7399
298,539,175000,11700
299,300,158500,14000
300,375,157000,15750
301,683,267000,16226
302,843,205000,13704
303,552,149900,9800
304,870,295000,18386
305,888,305900,10386
306,746,225000,13474
308,539,82500,12342
309,708,360000,12378
310,420,165600,7685
311,240,132000,8000
312,410,119900,7800
314,546,178000,9600
315,432,188500,7795
316,484,260000,13005
317,1025,270000,9000
318,656,260000,9900
319,588,187500,14115
320,840,342643,16259
321,872,354000,12099
322,576,301000,10380
323,220,126175,5820
324,564,242000,11275
325,360,87000,5000
326,473,324000,10846
327,292,145250,11600
328,441,214500,11888
329,189,78000,6402
330,352,119000,10624
331,308,139000,8176
332,880,284000,10655
333,484,207000,8198
334,472,192000,9042
336,676,377426,14157
337,532,214000,9135
338,440,202500,14145
339,297,155000,12400
340,431,202900,14191
341,294,82000,8400
342,400,87500,8544
343,564,266000,8849
344,336,85000,2592
345,312,140200,6435
346,301,151500,12772
347,498,157500,17600
348,474,154000,2448
350,617,318061,7820
351,445,190000,5271
352,200,95000,9084
353,484,105900,8520
354,240,140000,8400
355,521,177500,11249
356,400,173000,9248
357,528,134000,4224
358,288,130000,6930
359,592,280000,12011
360,470,156000,7540
361,240,145000,9144
362,672,198500,7301
363,264,118000,1680
364,566,190000,18800
365,468,147000,10690
366,514,159000,9500
367,296,165000,9150
368,244,132000,7800
369,576,162000,9830
370,460,172400,8121
371,680,134432,17120
372,264,125000,7175
373,270,123000,10634
374,434,219500,8200
376,576,148000,8846
377,610,340000,11143
378,834,394432,11394
379,463,179000,8123
380,308,127000,5000
381,572,187750,7200
382,639,213500,9245
383,360,76000,9000
385,430,192000,3182
387,352,125000,7200
388,577,191000,9382
389,846,426000,12474
390,384,119000,8405
391,560,215000,12209
392,294,106500,8339
394,240,109000,10134
395,596,129000,9571
396,600,123000,7200
397,264,169500,7590
398,338,67000,8967
399,438,241000,8125
400,500,245500,14963
401,400,164990,8767
402,240,108000,10200
403,420,258000,12090
404,373,168000,10364
405,490,150000,9991
406,240,115000,10480
407,308,177000,15576
408,947,280000,14154
409,836,339750,10800
410,350,60000,9571
412,484,222000,4403
413,360,115000,8960
414,678,228000,11228
415,396,181134,8899
416,440,149500,7844
418,240,126000,8160
419,304,142000,8450
420,784,206300,7060
421,529,215000,16635
423,696,315000,9200
424,297,139000,9000
425,240,135000,3378
426,569,275000,12800
427,352,109008,8593
428,628,195400,6762
429,576,175000,11457
430,264,85400,1680
432,440,122500,1920
433,470,181000,10839
435,550,212000,10667
436,440,116000,4400
437,180,119000,6000
438,352,90350,4280
439,528,110000,12354
440,672,555000,15431
442,360,162900,6240
443,648,172500,3922
444,493,210000,8750
445,480,127500,9855
446,578,190000,16492
447,431,199900,11214
448,198,119500,8600
449,308,120000,6000
450,270,110000,5684
452,422,204000,9303
453,676,210000,9000
454,560,188000,9297
455,528,175500,9600
456,513,98000,4571
458,228,161000,5100
459,352,110000,7015
460,552,263435,8004
461,576,155000,7200
462,360,62383,8281
463,240,188700,11988
465,398,178740,3072
466,526,167000,10628
467,312,146500,9480
468,866,250000,11428
469,506,187000,9291
470,528,212000,6820
